RANK,NAME,TOURNAMENTS
Flag (us),,
CHRIS HANSON,,
10,575,57.5
93,,
Flag (my),,
ELVINN KEO,,
13,614,57.4
94,,
Flag (ca),,
SHAWN DELIERRE,,
10,560,56
95,,
Flag (in),,
HARINDER PAL SINGH SANDHU,,
7,513,51.3
96,,
Flag (tw),,
JAMES HUANG,,
12,528,50.8
97,,
Flag (nz),,
LANCE BEDDOES,,
12,536,50.3
98,,
Flag (scotland),,
DOUGLAS KEMPSELL,,
10,500,50
98,,
Flag (england),,
TOM FORD,,
7,500,50
100,,
Flag (fr),,
GEOFFREY DEMONT,,
12,521,49.6
101,,
Flag (my),,
EAIN YOW NG,,
10,488,48.8
102,,
Flag (pk),,
ISRAR AHMED,,
8,480,48
103,,
Flag (fr),,
BAPTISTE MASOTTI,,
14,586,47.364
104,,
Flag (my),,
MOHD SYAFIQ KAMAL,,
12,502,47
105,,
Flag (fr),,
CHRISTOPHE ANDRE,,
13,485,45.9
106,,
Flag (ar),,
ROBERTINO PEZZOTA,,
8,453,45.3
107,,
Flag (ie),,
ARTHUR GASKIN,,
15,543,44.091
107,,
Flag (england),,
PATRICK ROONEY,,
14,538,44.091
109,,
Flag (au),,
MATTHEW HOPKIN,,
12,475,43.5
110,,
Flag (england),,
CHRIS FULLER,,
13,470,43.1
111,,
Flag (england),,
LYELL FULLER,,
13,452,42.6
112,,
Flag (england),,
ASHLEY DAVIES,,
18,637,42
113,,
Flag (england),,
JOE GREEN,,
11,425,40.5
114,,
Flag (pk),,
AHSAN AYAZ,,
9,402,40.2
115,,
Flag (pk),,
SHAHJAHAN KHAN,,
6,400,40
116,,
Flag (kw),,
AMMAR ALTAMIMI,,
10,398,39.8
117,,
Flag (fr),,
AUGUSTE DUSSOURD,,
12,408,39.5
118,,
Flag (es),,
EDMON LOPEZ,,
9,383,38.3
119,,
Flag (pk),,
ASIM KHAN,,
13,421,37.5
120,,
Flag (jo),,
MOHAMMAD ALSARRAJ,,
7,373,37.3
121,,
Flag (my),,
ADDEEN IDRAKIE,,
13,433,37
121,,
Flag (es),,
BERNAT JAUME,,
11,383,37
123,,
Flag (hk),,
TANG MING HONG,,
10,368,36.8
124,,
Flag (au),,
RHYS DOWLING,,
12,380,36
124,,
Flag (mx),,
ERIC GALVEZ,,
9,360,36
126,,
Flag (hk),,
TSZ KWAN LAU,,
12,377,35.9
127,,
Flag (pk),,
KHAWAJA ADIL MAQBOOL,,
8,349,34.9
128,,
Flag (jm),,
LEWIS WALTERS,,
10,348,34.8
129,,
Flag (fi),,
JAMI AIJANEN,,
12,373,34.7
130,,
Flag (kr),,
KO YOUNGJO,,
11,358,34.6
131,,
Flag (england),,
ANTHONY GRAHAM,,
11,343,34.3
132,,
Flag (fr),,
VINCENT DROESBEKE,,
16,439,33.333
133,,
Flag (us),,
