"Var","variable","value","id","League"
"Goals","Away","1",323813,"La Liga"
"Posession","Home","72%",323800,"La Liga"
"Posession","Away","28%",323800,"La Liga"
"Shots","Home","22",323800,"La Liga"
"Shots","Away","9",323800,"La Liga"
"Goals","Home","4",323800,"La Liga"
"Goals","Away","2",323800,"La Liga"
"Posession","Home","26%",323788,"La Liga"
"Posession","Away","74%",323788,"La Liga"
"Shots","Home","1",323788,"La Liga"
"Shots","Away","23",323788,"La Liga"
"Goals","Home","0",323788,"La Liga"
"Goals","Away","2",323788,"La Liga"
"Posession","Home","66%",323782,"La Liga"
"Posession","Away","34%",323782,"La Liga"
"Shots","Home","15",323782,"La Liga"
"Shots","Away","8",323782,"La Liga"
"Goals","Home","3",323782,"La Liga"
"Goals","Away","1",323782,"La Liga"
"Posession","Home","39%",323777,"La Liga"
"Posession","Away","61%",323777,"La Liga"
"Shots","Home","9",323777,"La Liga"
"Shots","Away","18",323777,"La Liga"
"Goals","Home","0",323777,"La Liga"
"Goals","Away","3",323777,"La Liga"
"Posession","Home","54%",323764,"La Liga"
"Posession","Away","46%",323764,"La Liga"
"Shots","Home","18",323764,"La Liga"
"Shots","Away","11",323764,"La Liga"
"Goals","Home","1",323764,"La Liga"
"Goals","Away","1",323764,"La Liga"
"Posession","Home","51%",327700,"La Liga"
"Posession","Away","49%",327700,"La Liga"
"Shots","Home","7",327700,"La Liga"
"Shots","Away","16",327700,"La Liga"
"Goals","Home","0",327700,"La Liga"
"Goals","Away","1",327700,"La Liga"
"Posession","Home","70%",323745,"La Liga"
"Posession","Away","30%",323745,"La Liga"
"Shots","Home","30",323745,"La Liga"
"Shots","Away","1",323745,"La Liga"
"Goals","Home","3",323745,"La Liga"
"Goals","Away","0",323745,"La Liga"
"Posession","Home","50%",323737,"La Liga"
"Posession","Away","50%",323737,"La Liga"
"Shots","Home","17",323737,"La Liga"
"Shots","Away","12",323737,"La Liga"
"Goals","Home","0",323737,"La Liga"
"Goals","Away","3",323737,"La Liga"
"Posession","Home","57%",323728,"La Liga"
"Posession","Away","43%",323728,"La Liga"
"Shots","Home","19",323728,"La Liga"
"Shots","Away","7",323728,"La Liga"
"Goals","Home","1",323728,"La Liga"
"Goals","Away","1",323728,"La Liga"
"Posession","Home","35%",323715,"La Liga"
"Posession","Away","65%",323715,"La Liga"
"Shots","Home","11",323715,"La Liga"
"Shots","Away","9",323715,"La Liga"
"Goals","Home","0",323715,"La Liga"
"Goals","Away","1",323715,"La Liga"
"Posession","Home","52%",323711,"La Liga"
"Posession","Away","48%",323711,"La Liga"
"Shots","Home","17",323711,"La Liga"
"Shots","Away","14",323711,"La Liga"
"Goals","Home","3",323711,"La Liga"
"Goals","Away","0",323711,"La Liga"
"Posession","Home","58%",323853,"La Liga"
"Posession","Away","42%",323853,"La Liga"
"Shots","Home","9",323853,"La Liga"
"Shots","Away","11",323853,"La Liga"
"Goals","Home","1",323853,"La Liga"
"Goals","Away","1",323853,"La Liga"
"Posession","Home","55%",323701,"La Liga"
"Posession","Away","45%",323701,"La Liga"
"Shots","Home","30",323701,"La Liga"
"Shots","Away","2",323701,"La Liga"
"Goals","Home","2",323701,"La Liga"
"Goals","Away","1",323701,"La Liga"
"Posession","Home","39%",323692,"La Liga"
"Posession","Away","61%",323692,"La Liga"
"Shots","Home","7",323692,"La Liga"
"Shots","Away","27",323692,"La Liga"
"Goals","Home","2",323692,"La Liga"
"Goals","Away","4",323692,"La Liga"
"Posession","Home","37%",324018,"La Liga"
"Posession","Away","63%",324018,"La Liga"
"Shots","Home","8",324018,"La Liga"
"Shots","Away","40",324018,"La Liga"
"Goals","Home","0",324018,"La Liga"
"Goals","Away","6",324018,"La Liga"
"Posession","Home","61%",324009,"La Liga"
"Posession","Away","39%",324009,"La Liga"
"Shots","Home","20",324009,"La Liga"
"Shots","Away","7",324009,"La Liga"
"Goals","Home","0",324009,"La Liga"
"Goals","Away","0",324009,"La Liga"
"Posession","Home","44%",323994,"La Liga"
"Posession","Away","56%",323994,"La Liga"
"Shots","Home","12",323994,"La Liga"
"Shots","Away","14",323994,"La Liga"
"Goals","Home","2",323994,"La Liga"
"Goals","Away","1",323994,"La Liga"
"Posession","Home","48%",323991,"La Liga"
"Posession","Away","52%",323991,"La Liga"
"Shots","Home","9",323991,"La Liga"
"Shots","Away","21",323991,"La Liga"
"Goals","Home","4",323991,"La Liga"
"Goals","Away","3",323991,"La Liga"
"Posession","Home","44%",323978,"La Liga"
"Posession","Away","56%",323978,"La Liga"
"Shots","Home","8",323978,"La Liga"
"Shots","Away","9",323978,"La Liga"
"Goals","Home","0",323978,"La Liga"
"Goals","Away","0",323978,"La Liga"
"Posession","Home","66%",323974,"La Liga"
"Posession","Away","34%",323974,"La Liga"
"Shots","Home","25",323974,"La Liga"
"Shots","Away","16",323974,"La Liga"
"Goals","Home","2",323974,"La Liga"
"Goals","Away","2",323974,"La Liga"
"Posession","Home","46%",323963,"La Liga"
"Posession","Away","54%",323963,"La Liga"
"Shots","Home","8",323963,"La Liga"
"Shots","Away","13",323963,"La Liga"
"Goals","Home","2",323963,"La Liga"
"Goals","Away","0",323963,"La Liga"
"Posession","Home","52%",323956,"La Liga"
"Posession","Away","48%",323956,"La Liga"
"Shots","Home","16",323956,"La Liga"
"Shots","Away","6",323956,"La Liga"
"Goals","Home","3",323956,"La Liga"
"Goals","Away","0",323956,"La Liga"
"Posession","Home","43%",323947,"La Liga"
"Posession","Away","57%",323947,"La Liga"
"Shots","Home","8",323947,"La Liga"
"Shots","Away","15",323947,"La Liga"
"Goals","Home","0",323947,"La Liga"
"Goals","Away","1",323947,"La Liga"
"Posession","Home","59%",323939,"La Liga"
"Posession","Away","41%",323939,"La Liga"
"Shots","Home","18",323939,"La Liga"
"Shots","Away","12",323939,"La Liga"
"Goals","Home","3",323939,"La Liga"
"Goals","Away","1",323939,"La Liga"
"Posession","Home","61%",323928,"La Liga"
"Posession","Away","39%",323928,"La Liga"
"Shots","Home","13",323928,"La Liga"
"Shots","Away","7",323928,"La Liga"
"Goals","Home","2",323928,"La Liga"
"Goals","Away","2",323928,"La Liga"
"Posession","Home","68%",323921,"La Liga"
"Posession","Away","32%",323921,"La Liga"
"Shots","Home","27",323921,"La Liga"
"Shots","Away","4",323921,"La Liga"
"Goals","Home","4",323921,"La Liga"
"Goals","Away","0",323921,"La Liga"
"Posession","Home","56%",323909,"La Liga"
"Posession","Away","44%",323909,"La Liga"
"Shots","Home","13",323909,"La Liga"
"Shots","Away","14",323909,"La Liga"
"Goals","Home","0",323909,"La Liga"
"Goals","Away","1",323909,"La Liga"
"Posession","Home","54%",323888,"La Liga"
"Posession","Away","46%",323888,"La Liga"
"Shots","Home","7",323888,"La Liga"
"Shots","Away","14",323888,"La Liga"
"Goals","Home","0",323888,"La Liga"
"Goals","Away","1",323888,"La Liga"
"Posession","Home","69%",323884,"La Liga"
"Posession","Away","31%",323884,"La Liga"
"Shots","Home","11",323884,"La Liga"
"Shots","Away","6",323884,"La Liga"
"Goals","Home","2",323884,"La Liga"
"Goals","Away","1",323884,"La Liga"
"Posession","Home","53%",323860,"La Liga"
"Posession","Away","47%",323860,"La Liga"
"Shots","Home","15",323860,"La Liga"
"Shots","Away","9",323860,"La Liga"
"Goals","Home","1",323860,"La Liga"
"Goals","Away","1",323860,"La Liga"
"Posession","Home","50%",324026,"La Liga"
"Posession","Away","50%",324026,"La Liga"
"Shots","Home","6",324026,"La Liga"
"Shots","Away","7",324026,"La Liga"
"Goals","Home","0",324026,"La Liga"
"Goals","Away","0",324026,"La Liga"
"Posession","Home","72%",323846,"La Liga"
"Posession","Away","28%",323846,"La Liga"
"Shots","Home","18",323846,"La Liga"
"Shots","Away","10",323846,"La Liga"
"Goals","Home","3",323846,"La Liga"
"Goals","Away","1",323846,"La Liga"
"Posession","Home","41%",323835,"La Liga"
"Posession","Away","59%",323835,"La Liga"
"Shots","Home","9",323835,"La Liga"
"Shots","Away","9",323835,"La Liga"
"Goals","Home","1",323835,"La Liga"
"Goals","Away","2",323835,"La Liga"
"Posession","Home","62%",323829,"La Liga"
"Posession","Away","38%",323829,"La Liga"
"Shots","Home","14",323829,"La Liga"
"Shots","Away","10",323829,"La Liga"
"Goals","Home","0",323829,"La Liga"
"Goals","Away","2",323829,"La Liga"
"Posession","Home","53%",323820,"La Liga"
"Posession","Away","47%",323820,"La Liga"
"Shots","Home","13",323820,"La Liga"
"Shots","Away","10",323820,"La Liga"
"Goals","Home","0",323820,"La Liga"
"Goals","Away","2",323820,"La Liga"
"Posession","Home","62%",323811,"La Liga"
"Posession","Away","38%",323811,"La Liga"
"Shots","Home","18",323811,"La Liga"
"Shots","Away","14",323811,"La Liga"
"Goals","Home","5",323811,"La Liga"
"Goals","Away","1",323811,"La Liga"
"Posession","Home","50%",323804,"La Liga"
"Posession","Away","50%",323804,"La Liga"
"Shots","Home","12",323804,"La Liga"
"Shots","Away","11",323804,"La Liga"
"Goals","Home","2",323804,"La Liga"
"Goals","Away","1",323804,"La Liga"
"Posession","Home","51%",323794,"La Liga"
"Posession","Away","49%",323794,"La Liga"
"Shots","Home","13",323794,"La Liga"
"Shots","Away","7",323794,"La Liga"
"Goals","Home","3",323794,"La Liga"
"Goals","Away","0",323794,"La Liga"
"Posession","Home","51%",323781,"La Liga"
"Posession","Away","49%",323781,"La Liga"
"Shots","Home","17",323781,"La Liga"
"Shots","Away","9",323781,"La Liga"
"Goals","Home","1",323781,"La Liga"
"Goals","Away","1",323781,"La Liga"
"Posession","Home","74%",323776,"La Liga"
"Posession","Away","26%",323776,"La Liga"
"Shots","Home","28",323776,"La Liga"
"Shots","Away","6",323776,"La Liga"
"Goals","Home","1",323776,"La Liga"
"Goals","Away","2",323776,"La Liga"
"Posession","Home","51%",323760,"La Liga"
"Posession","Away","49%",323760,"La Liga"
"Shots","Home","12",323760,"La Liga"
"Shots","Away","11",323760,"La Liga"
"Goals","Home","1",323760,"La Liga"
"Goals","Away","0",323760,"La Liga"
"Posession","Home","54%",323759,"La Liga"
"Posession","Away","46%",323759,"La Liga"
"Shots","Home","14",323759,"La Liga"
"Shots","Away","11",323759,"La Liga"
"Goals","Home","1",323759,"La Liga"
"Goals","Away","2",323759,"La Liga"
"Posession","Home","23%",323743,"La Liga"
"Posession","Away","77%",323743,"La Liga"
"Shots","Home","14",323743,"La Liga"
"Shots","Away","14",323743,"La Liga"
"Goals","Home","1",323743,"La Liga"
"Goals","Away","4",323743,"La Liga"
"Posession","Home","60%",323741,"La Liga"
"Posession","Away","40%",323741,"La Liga"
"Shots","Home","21",323741,"La Liga"
"Shots","Away","9",323741,"La Liga"
"Goals","Home","3",323741,"La Liga"
"Goals","Away","0",323741,"La Liga"
"Posession","Home","45%",323722,"La Liga"
"Posession","Away","55%",323722,"La Liga"
"Shots","Home","12",323722,"La Liga"
"Shots","Away","11",323722,"La Liga"
"Goals","Home","1",323722,"La Liga"
"Goals","Away","0",323722,"La Liga"
"Posession","Home","36%",323706,"La Liga"
"Posession","Away","64%",323706,"La Liga"
"Shots","Home","21",323706,"La Liga"
"Shots","Away","8",323706,"La Liga"
"Goals","Home","2",323706,"La Liga"
"Goals","Away","0",323706,"La Liga"
"Posession","Home","56%",323850,"La Liga"
"Posession","Away","44%",323850,"La Liga"
"Shots","Home","12",323850,"La Liga"
"Shots","Away","11",323850,"La Liga"
"Goals","Home","1",323850,"La Liga"
"Goals","Away","0",323850,"La Liga"
"Posession","Home","36%",323693,"La Liga"
"Posession","Away","64%",323693,"La Liga"
"Shots","Home","3",323693,"La Liga"
"Shots","Away","11",323693,"La Liga"
"Goals","Home","0",323693,"La Liga"
"Goals","Away","2",323693,"La Liga"
"Posession","Home","51%",350175,"La Liga"
"Posession","Away","49%",350175,"La Liga"
"Shots","Home","11",350175,"La Liga"
"Shots","Away","7",350175,"La Liga"
"Goals","Home","0",350175,"La Liga"
"Goals","Away","1",350175,"La Liga"
"Posession","Home","49%",348494,"La Liga"
"Posession","Away","51%",348494,"La Liga"
"Shots","Home","9",348494,"La Liga"
"Shots","Away","10",348494,"La Liga"
